symbol,type,entry_date,exit_date,entry_price,exit_price,shares,profit,exit_reason
WELL,short,2025-06-03,2025-06-23 00:00:00,152.2,154.12,33,-63.36,L 2 S
WDC,short,2025-06-10,2025-06-24 00:00:00,55.95,62.07,89,-544.68,L 2 S
WY,long,2025-04-09,2025-05-12 00:00:00,26.56,26.97,188,77.08,Target L
WY,short,2025-05-13,2025-05-14 00:00:00,26.69,26.02,187,125.29,BE S
WSM,long,2025-03-07,2025-03-13 00:00:00,188.41,165.07,27,-630.18,Hard Stop S
WSM,long,2025-04-09,2025-04-16 00:00:00,158.25,137.62,32,-660.16,Hard Stop S
WMB,short,2025-06-03,2025-06-09 00:00:00,61.11,59.66,82,118.9,BE S
WTW,short,2025-03-04,2025-03-11 00:00:00,333.94,326.52,15,111.3,BE S
WDAY,long,2025-02-24,2025-02-26 00:00:00,261.81,271.09,19,176.32,Gap out L
WDAY,long,2025-03-05,2025-03-31 00:00:00,259.61,233.53,19,-495.52,Hard Stop S
WDAY,long,2025-04-09,2025-05-02 00:00:00,231.42,248.68,22,379.72,BE L
WYNN,short,2025-02-21,2025-03-12 00:00:00,90.76,85.67,55,279.95,BE S
WYNN,long,2025-04-09,2025-05-07 00:00:00,75.83,84.12,66,547.14,BE L
XEL,short,2025-02-25,2025-03-06 00:00:00,70.45,67.66,71,198.09,BE S
XYL,long,2025-04-09,2025-04-29 00:00:00,110.5,118.62,45,365.4,BE L
XYL,short,2025-05-13,2025-05-23 00:00:00,126.93,124.05,39,112.32,BE S
ZBRA,long,2025-04-09,2025-04-29 00:00:00,243.77,256.05,21,257.88,Gap out L
ZBH,long,2025-06-03,2025-06-10 00:00:00,91.85,94.92,54,165.78,BE L
ZTS,long,2025-04-09,2025-05-06 00:00:00,153.55,149.87,33,-121.44,S 2 L
ZTS,short,2025-06-04,2025-06-09 00:00:00,168.59,164.61,30,119.4,BE S
MMM,short,2025-03-26,2025-03-27 00:00:00,152.68,148.44,33,139.92,BE S
AOS,long,2025-04-09,2025-04-29 00:00:00,62.56,67.02,80,356.8,BE L
AOS,long,2025-06-03,2025-07-01 00:00:00,64.0,67.76,78,293.28,BE L
ABT,short,2025-03-04,2025-03-11 00:00:00,137.58,132.66,36,177.12,BE S
ABT,short,2025-04-23,2025-05-06 00:00:00,129.84,133.06,39,-125.58,L 2 S
ABBV,short,2025-03-04,2025-04-04 00:00:00,207.76,186.96,24,499.2,BE S
ACN,long,2025-04-09,2025-05-12 00:00:00,299.94,322.09,17,376.55,BE L
ADBE,short,2025-05-08,2025-05-16 00:00:00,383.99,417.12,13,-430.69,L 2 S
AES,long,2025-04-09,2025-04-16 00:00:00,11.14,9.96,449,-529.82,Hard Stop S
AFL,long,2025-04-09,2025-06-17 00:00:00,105.3,102.09,47,-150.87,S 2 L
A,long,2025-03-05,2025-04-02 00:00:00,126.51,115.99,40,-420.8,S 2 L
A,short,2025-05-09,2025-06-04 00:00:00,106.93,114.94,47,-376.47,L 2 S
APD,long,2025-03-17,2025-04-01 00:00:00,295.62,293.45,17,-36.89,S 2 L
APD,long,2025-04-09,2025-05-06 00:00:00,270.2,267.62,19,-49.02,S 2 L
ABNB,long,2025-04-09,2025-05-12 00:00:00,121.32,134.21,41,528.49,Target L
ABNB,short,2025-06-09,2025-06-17 00:00:00,139.01,133.37,36,203.04,BE S
AKAM,long,2025-04-09,2025-05-05 00:00:00,76.35,83.1,65,438.75,BE L
ALB,long,2025-04-09,2025-04-15 00:00:00,60.47,54.01,83,-536.18,Hard Stop S
ALB,short,2025-05-14,2025-05-21 00:00:00,61.08,56.44,82,380.48,BE S
ALB,long,2025-06-03,2025-06-09 00:00:00,57.01,62.3,88,465.52,BE L
ARE,long,2025-04-09,2025-04-29 00:00:00,80.82,72.57,62,-511.5,Hard Stop S
ALGN,long,2025-02-26,2025-03-04 00:00:00,191.21,169.88,26,-554.58,Hard Stop S
ALGN,long,2025-04-09,2025-04-23 00:00:00,165.03,177.23,30,366.0,Target L
ALGN,short,2025-04-28,2025-04-30 00:00:00,181.09,173.3,28,218.12,BE S
ALLE,long,2025-03-13,2025-03-24 00:00:00,124.99,130.59,40,224.0,BE L
ALLE,long,2025-04-09,2025-04-24 00:00:00,124.65,139.51,40,594.4,Gap out L
LNT,short,2025-03-04,2025-03-06 00:00:00,64.26,62.2,78,160.68,BE S
LNT,long,2025-04-09,2025-05-20 00:00:00,60.42,63.16,83,227.42,Target L
ALL,short,2025-03-04,2025-03-18 00:00:00,199.03,205.34,25,-157.75,L 2 S
GOOGL,long,2025-04-09,2025-05-07 00:00:00,158.71,151.38,32,-234.56,S 2 L
GOOGL,short,2025-06-18,2025-06-20 00:00:00,173.32,166.64,29,193.72,BE S
GOOG,long,2025-04-09,2025-05-07 00:00:00,161.06,152.8,31,-256.06,S 2 L
GOOG,short,2025-06-18,2025-06-20 00:00:00,173.98,167.73,29,181.25,BE S
MO,short,2025-04-25,2025-05-13 00:00:00,58.26,56.47,86,153.94,BE S
AMZN,long,2025-03-28,2025-01-23 00:00:00,83.26,235.42,60,9129.6,BE L
AMZN,long,2025-03-11,2025-03-25 00:00:00,196.59,205.71,25,228.0,BE L
AMZN,short,2025-05-14,2025-05-21 00:00:00,210.25,201.12,24,219.12,BE S
AEE,short,2025-03-04,2025-03-06 00:00:00,100.0,97.14,50,143.0,BE S
AEP,short,2025-03-11,2025-04-02 00:00:00,104.43,107.75,48,-159.36,L 2 S
AEP,long,2025-04-09,2025-04-17 00:00:00,102.35,107.71,49,262.64,BE L
AXP,long,2025-04-09,2025-05-12 00:00:00,262.36,298.92,19,694.64,Target L
AIG,short,2025-03-19,2025-04-02 00:00:00,83.66,87.72,60,-243.6,L 2 S
AMT,short,2025-04-04,2025-04-08 00:00:00,220.17,204.66,23,356.73,BE S
AWK,short,2025-04-04,2025-04-08 00:00:00,147.23,140.87,34,216.24,BE S
AME,long,2025-04-09,2025-05-12 00:00:00,161.0,179.38,31,569.78,BE L
AMGN,short,2025-03-11,2025-03-25 00:00:00,318.89,306.86,16,192.48,BE S
AMGN,long,2025-04-09,2025-05-07 00:00:00,291.09,275.84,17,-259.25,S 2 L
APH,long,2025-04-07,2025-04-23 00:00:00,60.9,71.15,82,840.5,Gap out L
APH,short,2025-06-09,2025-06-24 00:00:00,92.96,95.8,54,-153.36,L 2 S
ADI,short,2025-02-21,2025-02-27 00:00:00,238.91,223.85,21,316.26,BE S
ANSS,long,2025-03-20,2025-03-31 00:00:00,324.63,316.56,15,-121.05,S 2 L
APA,long,2025-04-09,2025-04-10 00:00:00,16.71,14.6,299,-630.89,Hard Stop S
AAPL,short,2025-04-01,2025-01-23 00:00:00,183.68,223.66,27,-1079.46,Hard Stop L
AAPL,long,2025-04-09,2025-04-14 00:00:00,198.85,202.52,25,91.75,Gap out L
AMAT,long,2025-04-07,2025-04-09 00:00:00,132.85,149.73,38,641.44,BE L
APTV,short,2025-02-21,2025-02-28 00:00:00,66.68,65.12,75,117.0,BE S
APTV,long,2025-04-02,2025-04-04 00:00:00,60.78,53.0,82,-637.96,Hard Stop S
APTV,long,2025-04-09,2025-04-11 00:00:00,54.42,47.92,92,-598.0,Hard Stop S
ACGL,short,2025-03-28,2025-04-04 00:00:00,95.06,87.83,53,383.19,BE S
ACGL,long,2025-06-12,2025-07-02 00:00:00,91.91,88.38,54,-190.62,S 2 L
ADM,short,2025-03-11,2025-03-21 00:00:00,48.64,46.1,103,261.62,BE S
ADM,long,2025-04-09,2025-04-17 00:00:00,44.38,47.82,113,388.72,BE L
ADM,short,2025-05-14,2025-06-03 00:00:00,49.41,47.28,101,215.13,BE S
ANET,long,2025-04-07,2025-04-14 00:00:00,68.17,73.59,73,395.66,Gap out L
AIZ,long,2025-04-09,2025-05-13 00:00:00,193.24,202.45,26,239.46,Target L
T,short,2025-03-04,2025-03-17 00:00:00,26.22,26.83,191,-116.51,L 2 S
ATO,short,2025-03-04,2025-03-06 00:00:00,149.75,146.35,33,112.2,BE S
ADSK,long,2025-04-09,2025-05-07 00:00:00,263.53,283.36,19,376.77,BE L
ADP,long,2025-04-09,2025-05-15 00:00:00,294.69,315.85,17,359.72,BE L
AVY,short,2025-03-03,2025-03-04 00:00:00,185.92,181.33,27,123.93,BE S
BKR,long,2025-04-09,2025-06-10 00:00:00,38.75,39.08,129,42.57,Target L
BKR,short,2025-06-18,2025-06-23 00:00:00,38.98,37.83,128,147.2,BE S
BAC,long,2025-02-13,2025-01-23 00:00:00,106.1,46.39,47,-2806.37,Hard Stop S
BAC,short,2025-06-11,2025-06-25 00:00:00,44.73,46.85,112,-237.44,L 2 S
