open,high,low,close,volume,symbol,prev_close,gap_pct,gap_direction,spread,body,upper_wick,lower_wick,sma_5,sma_10,sma_20,price_change,price_change_pct,volatility_5min,volume_sma_10,volume_ratio,gap_size,gap_valid,signal,stop_loss_long,stop_loss_short,target_long,target_short
210.2,210.25,210.16,210.1834,120.0,AAPL,211.14,-0.0045,down,0.09,0.02,0.05,0.02,210.22,210.23,210.21,0.0,0.0,0.01,352.0,0.34,0.0045,True,long,208.08,212.29,214.39,205.98
210.2,210.2,210.17,210.2,6752.0,AAPL,211.14,-0.0045,down,0.03,0.0,0.0,0.03,210.21,210.22,210.21,0.02,0.01,0.02,997.0,6.77,0.0045,True,long,208.1,212.3,214.4,206.0
210.2,210.26,210.2,210.23,268.0,AAPL,211.14,-0.0045,down,0.06,0.03,0.03,0.0,210.21,210.22,210.21,0.03,0.01,0.02,1016.0,0.26,0.0045,True,long,208.13,212.33,214.43,206.03
210.212,210.27,210.212,210.26,377.0,AAPL,211.14,-0.0044,down,0.06,0.05,0.01,0.0,210.21,210.22,210.22,0.03,0.01,0.02,1047.0,0.36,0.0044,True,long,208.16,212.36,214.47,206.05
210.26,210.26,210.1606,210.1606,3279.0,AAPL,211.14,-0.0042,down,0.1,0.1,0.0,0.0,210.21,210.22,210.22,-0.1,-0.05,0.03,1370.0,2.39,0.0042,True,long,208.06,212.26,214.36,205.96
496.94,497.0,496.82,496.82,32.0,MSFT,503.51,-0.013,down,0.18,0.12,0.06,0.0,496.86,496.82,496.81,-0.21,-0.04,0.06,53.0,0.6,0.013,False,none,491.85,501.79,506.76,486.88
496.9,496.9,496.69,496.69,1023.0,MSFT,503.51,-0.0131,down,0.21,0.21,0.0,0.0,496.87,496.8,496.81,-0.13,-0.03,0.06,152.0,6.73,0.0131,False,none,491.72,501.66,506.62,486.76
496.775,496.9,496.66,496.9,29.0,MSFT,503.51,-0.0134,down,0.24,0.12,0.0,0.11,496.85,496.82,496.83,0.21,0.04,0.05,150.0,0.19,0.0134,False,none,491.93,501.87,506.84,486.96
496.775,497.03,496.65,497.03,4.0,MSFT,503.51,-0.0134,down,0.38,0.25,0.0,0.12,496.89,496.84,496.83,0.13,0.03,0.04,144.0,0.03,0.0134,False,none,492.06,502.0,506.97,487.09
497.03,497.03,496.84,497.0,1002.0,MSFT,503.51,-0.0129,down,0.19,0.03,0.0,0.16,496.89,496.86,496.84,-0.03,-0.01,0.04,244.0,4.11,0.0129,False,none,492.03,501.97,506.94,487.06
