Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,249.26,254.005,248.02,252.25,1233823.0
2024-12-23 05:00:00,251.75,254.81,250.88,254.41,269677.0
2024-12-24 05:00:00,253.99,257.04,253.9,256.2,172640.0
2024-12-26 05:00:00,255.63,257.9,254.6961,257.12,204527.0
2024-12-27 05:00:00,254.11,256.87,253.67,255.63,212244.0
2024-12-30 05:00:00,252.34,254.42,249.735,252.48,254585.0
2024-12-31 05:00:00,252.82,253.34,250.74,251.47,280866.0
2025-01-02 05:00:00,252.0,255.38,249.6798,251.75,409403.0
2025-01-03 05:00:00,252.11,255.15,251.74,254.36,410978.0
2025-01-06 05:00:00,254.36,260.77,254.36,259.7,485307.0
2025-01-07 05:00:00,259.7,261.59,255.865,257.29,444861.0
2025-01-08 05:00:00,255.88,259.89,254.865,258.84,428597.0
2025-01-10 05:00:00,256.07,257.22,253.9,254.32,789944.0
2025-01-13 05:00:00,252.09,255.75,250.63,255.16,393519.0
2025-01-14 05:00:00,255.83,260.24,255.16,258.11,535602.0
2025-01-15 05:00:00,262.15,263.795,260.16,262.3,512996.0
2025-01-16 05:00:00,263.0,266.06,262.395,263.86,335151.0
2025-01-17 05:00:00,267.48,267.74,263.54,263.95,384594.0
2025-01-21 05:00:00,264.25,267.96,264.25,267.74,381949.0
2025-01-22 05:00:00,268.45,272.5,268.45,272.08,538173.0
2025-01-23 05:00:00,271.27,273.09,269.5,272.91,425655.0
2025-01-24 05:00:00,272.21,274.64,270.997,272.99,414346.0
2025-01-27 05:00:00,266.19,268.32,258.06,263.01,919156.0
2025-01-28 05:00:00,263.47,270.03,262.11,269.72,1321576.0
2025-01-29 05:00:00,307.0,308.0,277.14,300.46,2423121.0
2025-01-30 05:00:00,304.36,307.49,299.6578,301.48,919363.0
2025-01-31 05:00:00,302.29,304.0,296.98,297.26,681646.0
2025-02-03 05:00:00,293.4,295.45,287.565,295.19,867808.0
2025-02-04 05:00:00,294.0,301.02,293.77,299.78,806675.0
2025-02-05 05:00:00,298.47,303.51,297.17,303.32,477409.0
2025-02-06 05:00:00,304.35,308.32,303.81,307.44,618037.0
2025-02-07 05:00:00,307.31,310.14,304.43,306.6,520482.0
2025-02-10 05:00:00,309.21,310.775,306.56,308.35,441803.0
2025-02-11 05:00:00,307.03,310.76,307.03,308.39,513322.0
2025-02-12 05:00:00,303.76,310.63,301.34,310.6,789800.0
2025-02-13 05:00:00,311.78,312.7604,308.54,310.45,453746.0
2025-02-14 05:00:00,310.45,310.8599,308.02,310.18,435746.0
2025-02-18 05:00:00,310.18,312.9999,305.62,307.59,611101.0
2025-02-19 05:00:00,306.99,310.2,304.88,310.08,441436.0
2025-02-20 05:00:00,308.88,308.88,301.34,304.6,415897.0
2025-02-21 05:00:00,305.51,305.51,294.78,295.56,467946.0
2025-02-24 05:00:00,296.05,296.255,290.005,293.21,505786.0
2025-02-25 05:00:00,292.67,293.64,287.64,292.98,590442.0
2025-02-26 05:00:00,293.18,298.01,292.61,294.82,484839.0
2025-02-27 05:00:00,296.74,297.26,290.31,290.97,353741.0
2025-02-28 05:00:00,291.23,292.765,285.21,292.43,840598.0
2025-03-03 05:00:00,295.46,298.54,282.16,284.15,724798.0
2025-03-04 05:00:00,280.9,283.815,273.14,280.11,686082.0
2025-03-05 05:00:00,279.91,283.19,276.0,282.73,794458.0
2025-03-06 05:00:00,278.76,280.11,273.045,275.76,699555.0
2025-03-07 05:00:00,275.62,278.03,268.75,275.63,547677.0
2025-03-10 04:00:00,270.55,270.855,263.34,266.5,634401.0
2025-03-11 04:00:00,265.8,269.87,263.555,265.31,569236.0
2025-03-12 04:00:00,270.15,271.1114,265.87,266.06,537267.0
2025-03-13 04:00:00,266.03,266.07,255.645,257.42,709246.0
2025-03-14 04:00:00,261.0,264.01,255.9,262.46,441189.0
2025-03-17 04:00:00,259.97,269.765,257.9025,267.45,485482.0
2025-03-18 04:00:00,265.24,266.965,263.68,264.83,338009.0
2025-03-19 04:00:00,265.33,272.87,264.38,270.21,549604.0
2025-03-20 04:00:00,267.63,270.95,266.35,268.48,464382.0
2025-03-21 04:00:00,266.88,268.8,262.755,268.4,1289441.0
2025-03-24 04:00:00,273.74,276.38,272.19,274.31,545170.0
2025-03-25 04:00:00,274.79,278.845,270.3625,275.05,570756.0
2025-03-26 04:00:00,274.86,277.1,271.302,272.84,336495.0
2025-03-27 04:00:00,271.85,271.85,267.475,270.08,356133.0
2025-03-28 04:00:00,268.87,270.915,261.165,263.88,490912.0
2025-03-31 04:00:00,260.11,268.52,258.995,266.27,719388.0
2025-04-01 04:00:00,265.37,269.18,264.03,268.58,457619.0
2025-04-02 04:00:00,264.37,274.54,264.37,272.73,463739.0
2025-04-03 04:00:00,257.47,261.88,249.88,250.98,590126.0
2025-04-04 04:00:00,244.74,246.09,236.57,239.25,725520.0
2025-04-07 04:00:00,232.41,252.79,227.0446,243.48,1073100.0
2025-04-08 04:00:00,256.14,256.91,238.38,241.53,737981.0
